,name,market price,"timestamp, ms"
0,City of Shadows,96.73,775699200000
1,Bog Rats,0.4,775699200000
2,The Fallen,2.64,775699200000
3,Frankenstein's Monster,29.77,775699200000
4,Inquisition,0.35,775699200000
5,Murk Dwellers,0.29,775699200000
6,Nameless Race,9.85,775699200000
7,Rag Man,8.88,775699200000
8,Word of Binding,0.3,775699200000
9,Worms of the Earth,17.14,775699200000
10,Deep Water,0.26,775699200000
11,Drowned,0.44,775699200000
12,Flood,1.78,775699200000
13,Ghost Ship,0.47,775699200000
14,Giant Shark,0.54,775699200000
15,Leviathan,15.06,775699200000
16,Psychic Allergy,11.0,775699200000
17,Riptide,0.34,775699200000
18,Sunken City,0.34,775699200000
19,Tangle Kelp,1.21,775699200000
20,Carnivorous Plant,0.34,775699200000
21,Gaea's Touch,2.35,775699200000
22,Hidden Path,46.08,775699200000
23,Land Leeches,0.36,775699200000
24,Lurker,11.77,775699200000
25,Niall Silvain,10.08,775699200000
26,Scarwood Bandits,15.11,775699200000
27,Scarwood Hag,0.97,775699200000
28,Scavenger Folk,0.51,775699200000
29,Spitting Slug,1.1,775699200000
30,Tracker,17.44,775699200000
31,Wormwood Treefolk,12.88,775699200000
32,Brothers of Fire,1.25,775699200000
33,Cave People,0.92,775699200000
34,Eternal Flame,15.56,775699200000
35,Fire Drake,2.19,775699200000
36,Fissure,0.47,775699200000
37,Goblin Caves,1.09,775699200000
38,Goblin Digging Team,0.37,775699200000
39,Goblin Hero,0.44,775699200000
40,Inferno,8.94,775699200000
41,Mana Clash,7.56,775699200000
42,Orc General,2.85,775699200000
43,Sisters of the Flame,4.14,775699200000
44,Angry Mob,2.22,775699200000
45,Blood of the Martyr,3.01,775699200000
46,Brainwash,0.34,775699200000
47,Dust to Dust,1.07,775699200000
48,Exorcist,44.46,775699200000
49,Fasting,0.93,775699200000
50,Festival,1.31,775699200000
51,Fire and Brimstone,1.07,775699200000
52,Holy Light,0.85,775699200000
53,Knights of Thorn,22.21,775699200000
54,Miracle Worker,0.31,775699200000
55,Morale,0.33,775699200000
56,Pikemen,0.32,775699200000
57,Preacher,113.77,775699200000
58,Squire,0.41,775699200000
59,Tivadar's Crusade,3.11,775699200000
60,Witch Hunter,20.82,775699200000
61,Bone Flute,0.77,775699200000
62,Book of Rass,3.58,775699200000
63,Dark Sphere,5.8,775699200000
64,Fellwar Stone,25.06,775699200000
65,Fountain of Youth,6.46,775699200000
66,Living Armor,0.77,775699200000
67,Necropolis,5.33,775699200000
68,Reflecting Mirror,3.08,775699200000
69,Runesword,1.69,775699200000
70,Scarecrow,6.82,775699200000
71,Skull of Orm,6.01,775699200000
72,Standing Stones,0.81,775699200000
73,Stone Calendar,45.12,775699200000
74,Tormod's Crypt,13.64,775699200000
75,Tower of Coireall,0.81,775699200000
76,Safe Haven,11.9,775699200000
77,Sorrow's Path,17.49,775699200000
78,Scarwood Goblins,0.38,775699200000
79,Cleansing,26.87,775699200000
80,Coal Golem,2.24,775699200000
81,Curse Artifact,1.48,775699200000
82,Dance of Many,14.13,775699200000
83,Dark Heart of the Wood,0.58,775699200000
84,Eater of the Dead,15.76,775699200000
85,Electric Eel,1.77,775699200000
86,Elves of Deep Shadow,19.38,775699200000
87,Diabolic Machine,1.35,775699200000
88,Erosion,0.27,775699200000
89,Apprentice Wizard,9.4,775699200000
90,Ashes to Ashes,0.8,775699200000
91,Banshee,2.93,775699200000
92,Barl's Cage,8.17,775699200000
93,Blood Moon,102.39,775699200000
94,Bog Imp,0.34,775699200000
95,Goblins of the Flarg,0.58,775699200000
96,Grave Robbers,17.69,775699200000
97,Mana Vortex,61.73,775699200000
98,Marsh Gas,0.37,775699200000
99,Marsh Goblins,0.36,775699200000
100,Marsh Viper,0.57,775699200000
101,Martyr's Cry,19.52,775699200000
102,People of the Woods,2.05,775699200000
103,Savaen Elves,0.6,775699200000
104,Amnesia,5.74,775699200000
105,Season of the Witch,54.12,775699200000
106,Goblin Rock Sled,0.34,775699200000
107,Goblin Shrine,0.33,775699200000
108,Goblin Wizard,161.7,775699200000
109,Ball Lightning,53.68,775699200000
110,Maze of Ith,43.22,775699200000
111,Merfolk Assassin,3.2,775699200000
112,Mind Bomb,9.06,775699200000
113,Uncle Istvan,5.13,775699200000
114,Venom,0.43,775699200000
115,Wand of Ith,4.43,775699200000
116,War Barge,1.44,775699200000
117,Water Wurm,0.32,775699200000
118,Whippoorwill,1.95,775699200000
